City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Katiola,8.1333,-5.1,74.01,85,100,2.86,overcast clouds
1,Hamilton,39.1834,-84.5333,55.15,93,90,1.01,mist
2,Busselton,-33.65,115.3333,53.58,83,95,4.29,overcast clouds
3,Punta Arenas,-53.15,-70.9167,53.71,43,0,14.97,clear sky
4,Ushuaia,-54.8,-68.3,51.46,46,0,18.41,clear sky
5,Saint-Philippe,-21.3585,55.7679,69.39,81,74,2.33,broken clouds
6,Atuona,-9.8,-139.0333,77.92,67,5,11.95,clear sky
7,Mar Del Plata,-38.0023,-57.5575,59.09,83,75,1.99,broken clouds
8,Namatanai,-3.6667,152.4333,84.58,70,94,8.21,light rain
9,Rosarito,32.3333,-117.0333,76.93,73,47,9.22,scattered clouds
10,Hilo,19.7297,-155.09,82.26,70,40,8.05,scattered clouds
11,Morondava,-20.2833,44.2833,75.78,70,80,6.96,broken clouds
12,Faanui,-16.4833,-151.75,78.13,69,15,15.43,few clouds
13,Panjab,34.388,67.0233,30.25,38,4,5.19,clear sky
14,Rikitea,-23.1203,-134.9692,75.13,85,84,21.0,light rain
15,Bonavista,48.6499,-53.1147,41.0,66,1,1.41,clear sky
16,Sitka,57.0531,-135.33,48.09,61,90,10.36,overcast clouds
17,Lebu,-37.6167,-73.65,53.06,82,100,13.6,overcast clouds
18,Bemidji,47.4736,-94.8803,44.89,82,90,12.66,overcast clouds
19,Chara,56.9064,118.2631,18.43,63,95,0.63,overcast clouds
20,Severo-Kurilsk,50.6789,156.125,41.56,79,86,13.62,overcast clouds
21,Sorland,67.667,12.6934,48.92,89,100,22.17,overcast clouds
22,Gizo,-8.103,156.8419,84.56,70,73,6.31,broken clouds
23,Vaini,-21.2,-175.2,78.96,83,20,11.5,few clouds
24,Pochutla,15.7432,-96.4661,81.14,76,50,3.96,scattered clouds
25,Southbridge,42.0751,-72.0334,59.27,98,100,8.01,light rain
26,Porto Santo,33.072,-16.3415,71.98,83,20,12.66,few clouds
27,Baker City,44.7749,-117.8344,56.64,57,1,9.22,clear sky
28,Port Elizabeth,-33.918,25.5701,61.09,94,90,3.44,overcast clouds
29,Albany,42.6001,-73.9662,57.38,92,95,2.44,overcast clouds
30,Leningradskiy,69.3833,178.4167,-0.92,96,99,6.33,overcast clouds
31,Andenes,69.3143,16.1194,42.78,93,100,14.97,overcast clouds
32,Pilar,-9.5972,-35.9567,76.93,84,4,5.28,clear sky
33,Solnechnyy,50.7214,136.6319,26.55,73,63,6.08,broken clouds
34,Dudinka,69.4058,86.1778,9.41,96,100,4.76,light snow
35,Mataura,-46.1927,168.8643,48.25,97,100,14.07,light rain
36,Turmalina,-17.2856,-42.73,71.53,73,100,6.04,overcast clouds
37,Butaritari,3.0707,172.7902,82.27,73,20,5.77,light rain
38,Upata,8.0086,-62.3989,71.89,96,97,3.27,overcast clouds
39,Bluff,-46.6,168.3333,50.59,89,96,29.42,overcast clouds
40,Mount Gambier,-37.8333,140.7667,51.71,82,40,11.5,scattered clouds
41,Guarapari,-20.6667,-40.4975,71.49,93,100,0.31,overcast clouds
42,Leirvik,59.7798,5.5005,54.01,85,100,19.48,light rain
43,Nanortalik,60.1432,-45.2371,34.68,71,68,0.92,broken clouds
44,Coihueco,-36.6167,-71.8333,70.54,53,0,5.75,clear sky
45,Bredasdorp,-34.5322,20.0403,58.28,88,55,2.3,broken clouds
46,Cherskiy,68.75,161.3,-0.2,98,100,5.86,light snow
47,Qasigiannguit,68.8193,-51.1922,37.65,87,100,7.78,overcast clouds
48,East London,-33.0153,27.9116,64.08,83,79,6.29,broken clouds
49,Aklavik,68.2191,-135.0107,20.12,93,40,4.61,scattered clouds
50,Kapaa,22.0752,-159.319,80.58,88,40,6.91,scattered clouds
51,Mamallapuram,12.6264,80.1722,80.65,84,100,9.17,overcast clouds
52,Bathsheba,13.2167,-59.5167,81.21,74,20,13.8,few clouds
53,Los Llanos De Aridane,28.6585,-17.9182,64.15,64,0,4.0,clear sky
54,Killybegs,54.6333,-8.45,46.45,81,96,17.52,light rain
55,Laguna,38.421,-121.4238,74.23,71,20,5.99,few clouds
56,Qaanaaq,77.484,-69.3632,2.21,54,0,7.85,clear sky
57,Acajutla,13.5928,-89.8275,89.94,79,99,4.45,overcast clouds
58,Havre-Saint-Pierre,50.2334,-63.5986,46.4,93,1,0.0,clear sky
59,Manadhoo,5.7667,73.3833,80.49,79,29,8.72,scattered clouds
60,Chuy,-33.6971,-53.4616,65.32,88,54,12.35,broken clouds
61,Qinhuangdao,39.9317,119.5883,49.73,77,67,15.23,broken clouds
62,Bambous Virieux,-20.3428,57.7575,70.21,94,20,3.44,few clouds
63,Atasu,48.6814,71.6433,38.79,63,100,16.71,overcast clouds
64,Castro,-24.7911,-50.0119,60.85,96,89,8.34,overcast clouds
65,Zhigalovo,54.8097,105.1578,29.08,78,100,0.65,overcast clouds
66,Kangaatsiaq,68.3065,-53.4641,35.51,97,100,37.6,light rain
67,Fort Payne,34.4442,-85.7197,54.91,72,90,4.61,mist
68,Bac Lieu,9.285,105.7244,79.48,86,83,11.21,broken clouds
69,Yellowknife,62.456,-114.3525,29.41,86,75,5.01,broken clouds
70,Poum,-20.2333,164.0167,76.08,69,14,4.79,few clouds
71,Newport,51.5877,-2.9984,50.83,89,44,11.23,scattered clouds
72,Sorso,40.8,8.5772,61.29,87,100,8.25,overcast clouds
73,Jamestown,42.097,-79.2353,53.24,86,90,0.0,overcast clouds
74,San Andres,12.5847,-81.7006,84.22,79,75,12.66,light rain
75,Iqaluit,63.7506,-68.5145,37.13,69,75,11.99,broken clouds
76,Georgetown,5.4112,100.3354,78.73,93,40,1.99,scattered clouds
77,Vila Velha,-20.3297,-40.2925,71.55,94,75,4.61,light rain
78,Salinopolis,-0.6136,-47.3561,78.69,86,19,7.74,few clouds
79,Khabary,53.6259,79.5345,34.77,89,100,16.35,light rain
80,Ponta Do Sol,32.6667,-17.1,71.71,73,40,6.51,scattered clouds
81,Tyrma,50.0833,132.1667,25.38,73,2,2.06,clear sky
82,Dingle,10.9995,122.6711,77.36,88,95,7.96,overcast clouds
83,Katsuura,35.1333,140.3,60.12,74,100,4.29,overcast clouds
84,Palmer,42.1584,-72.3287,58.89,86,90,1.01,light rain
85,Praya,14.9215,-23.5087,77.54,88,75,16.11,broken clouds
86,Tuktoyaktuk,69.4541,-133.0374,17.6,93,90,9.22,mist
87,Bartica,6.4,-58.6167,79.12,98,70,2.93,broken clouds
88,Arraial Do Cabo,-22.9661,-42.0278,69.76,100,75,8.05,broken clouds
89,Peoria,40.7667,-89.7668,57.54,62,38,5.73,scattered clouds
90,Tessalit,20.1986,1.0114,83.3,14,83,7.25,broken clouds
91,Formosa,-26.1775,-58.1781,82.38,69,0,8.05,clear sky
92,Pevek,69.7008,170.3133,-2.78,96,100,10.63,overcast clouds
93,Hobart,-42.8794,147.3294,59.25,56,75,3.0,broken clouds
94,Woodstock,43.1334,-80.7497,48.9,94,100,5.99,overcast clouds
95,Nelson Bay,-32.7167,152.15,68.29,58,94,4.0,overcast clouds
96,Nikolskoye,59.7035,30.7861,47.01,93,93,7.2,overcast clouds
97,Cootamundra,-34.65,148.0333,59.95,46,0,5.39,clear sky
98,Cape Town,-33.9258,18.4232,62.11,79,0,6.91,clear sky
99,Teodoro Sampaio,-22.5325,-52.1675,76.82,71,99,7.7,moderate rain
100,Buraydah,26.326,43.975,73.85,37,0,10.07,clear sky
101,Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.59,75,75,6.71,broken clouds
102,Korla,41.7597,86.1469,46.06,37,28,1.3,scattered clouds
103,Rabat,33.9911,-6.8401,64.04,96,40,5.75,scattered clouds
104,Liwale,-9.7667,37.9333,68.72,88,9,4.65,clear sky
105,Shillong,25.5689,91.8831,52.57,89,6,0.76,clear sky
106,Ayan,56.45,138.1667,22.6,52,0,18.63,clear sky
107,Carnarvon,-24.8667,113.6333,66.27,68,0,13.8,clear sky
108,Bethel,41.3712,-73.414,58.1,92,75,1.99,broken clouds
109,Washington,47.5001,-120.5015,52.99,29,0,2.86,clear sky
110,Puerto Ayora,-0.7393,-90.3518,78.76,84,95,8.59,overcast clouds
