City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,East London,ZA,-33.0153,27.9116,62.33,81,22,4.99,few clouds
1,Thompson,CA,55.7435,-97.8558,33.96,93,90,6.91,light intensity shower rain
2,Colares,PT,38.7992,-9.4469,68.99,85,100,3.0,overcast clouds
3,Mataura,NZ,-46.1927,168.8643,45.75,98,100,12.71,overcast clouds
4,Ushuaia,AR,-54.8,-68.3,46.06,53,0,13.8,clear sky
5,Codrington,AU,-38.2667,141.9667,62.37,55,0,4.72,clear sky
6,Babu,CN,24.4167,111.5167,64.44,96,100,1.92,overcast clouds
7,Touros,BR,-5.1989,-35.4608,77.9,76,96,14.85,overcast clouds
8,Busselton,AU,-33.65,115.3333,66.04,63,97,3.49,overcast clouds
9,Qom,IR,34.6401,50.8764,60.21,53,14,2.08,few clouds
10,Deputatskiy,RU,69.3,139.9,-6.45,96,97,4.56,overcast clouds
11,Bluff,NZ,-46.6,168.3333,49.51,76,100,28.23,overcast clouds
12,Bethel,US,41.3712,-73.414,57.67,93,90,0.0,mist
13,Port Alfred,ZA,-33.5906,26.891,65.05,79,73,3.47,broken clouds
14,Paragominas,BR,-2.9667,-47.4833,76.03,86,100,3.98,overcast clouds
15,Punta Arenas,CL,-53.15,-70.9167,42.91,70,0,4.61,clear sky
16,Tuatapere,NZ,-46.1333,167.6833,48.27,76,100,16.08,overcast clouds
17,Sambava,MG,-14.2667,50.1667,73.45,88,75,6.58,light rain
18,Port Blair,IN,11.6667,92.75,82.81,76,100,5.73,overcast clouds
19,Paamiut,GL,61.994,-49.6678,32.52,84,100,9.19,overcast clouds
20,Mar Del Plata,AR,-38.0023,-57.5575,57.09,85,75,3.0,broken clouds
21,Avera,US,33.194,-82.5271,58.51,82,99,12.41,overcast clouds
22,Chokurdakh,RU,70.6333,147.9167,0.54,97,99,6.42,overcast clouds
23,Lebu,CL,-37.6167,-73.65,51.49,89,100,10.85,overcast clouds
24,Callaway,US,30.153,-85.5699,58.96,72,90,5.01,overcast clouds
25,Auki,SB,-8.7676,160.7034,86.81,62,29,3.58,scattered clouds
26,Mount Isa,AU,-20.7333,139.5,92.97,17,12,14.97,few clouds
27,Zurrieq,MT,35.8311,14.4742,64.96,100,75,2.3,broken clouds
28,Bouna,CI,9.2667,-3.0,75.13,79,21,4.92,few clouds
29,Jamestown,US,42.097,-79.2353,51.08,98,90,0.0,overcast clouds
30,Pevek,RU,69.7008,170.3133,-1.7,96,100,9.86,overcast clouds
31,Dikson,RU,73.5069,80.5464,6.31,90,97,15.39,overcast clouds
32,Byron Bay,AU,-28.65,153.6167,71.56,77,100,16.91,overcast clouds
33,Kavieng,PG,-2.5744,150.7967,83.03,77,77,13.22,moderate rain
34,Sao Filipe,CV,14.8961,-24.4956,80.33,72,100,12.24,overcast clouds
35,Bambous Virieux,MU,-20.3428,57.7575,72.21,94,75,3.44,broken clouds
36,Virginia Beach,US,36.8529,-75.978,59.02,73,1,8.05,clear sky
37,Kamenka,RU,51.3223,42.7678,39.07,82,6,6.13,clear sky
38,Porto Novo,BJ,6.4965,2.6036,82.22,87,100,6.62,overcast clouds
39,Cidreira,BR,-30.1811,-50.2056,67.73,88,99,21.54,overcast clouds
40,Nikolskoye,RU,59.7035,30.7861,45.01,93,82,7.09,broken clouds
41,Dunedin,NZ,-45.8742,170.5036,58.8,53,100,17.0,overcast clouds
42,Bat Khela,PK,34.6167,71.9714,56.41,28,0,7.61,clear sky
43,Belaya Gora,RU,68.5333,146.4167,5.43,96,99,4.25,overcast clouds
44,Vila Velha,BR,-20.3297,-40.2925,71.55,100,90,2.3,overcast clouds
45,Constitucion,CL,-35.3333,-72.4167,55.47,82,100,10.25,overcast clouds
46,Gewane,ET,10.1664,40.6453,75.22,60,51,5.44,broken clouds
47,Rikitea,PF,-23.1203,-134.9692,74.59,87,100,21.83,moderate rain
48,Norman Wells,CA,65.282,-126.8329,21.24,93,20,6.91,few clouds
