city_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,51.46,46,0,18.41,AR,2021-10-30 22:58:49
1,Palmer,42.1584,-72.3287,58.98,86,90,1.01,US,2021-10-30 22:58:49
2,Mount Gambier,-37.8333,140.7667,51.71,82,40,11.5,AU,2021-10-30 22:58:50
3,Beloha,-25.1667,45.05,67.01,86,60,11.25,MG,2021-10-30 22:58:50
4,Hobart,-42.8794,147.3294,60.03,55,75,3.0,AU,2021-10-30 22:54:36
5,Albany,42.6001,-73.9662,57.38,92,95,2.44,US,2021-10-30 22:58:50
6,Duluth,46.7833,-92.1066,50.59,79,1,1.01,US,2021-10-30 22:58:50
7,Boca Do Acre,-8.7522,-67.3978,82.38,59,83,2.39,BR,2021-10-30 22:58:51
8,Griffith,41.5284,-87.4237,57.4,80,1,1.01,US,2021-10-30 22:58:51
9,Kaduqli,11.0167,29.7167,81.75,49,70,3.69,SD,2021-10-30 22:58:51
10,Rawson,-43.3002,-65.1023,48.92,63,87,22.17,AR,2021-10-30 22:58:52
11,Chuy,-33.6971,-53.4616,65.32,88,54,12.35,UY,2021-10-30 22:58:52
12,Bardiyah,31.7561,25.0865,70.39,66,3,8.7,LY,2021-10-30 22:58:52
13,Zyryanka,65.75,150.85,0.72,91,100,4.7,RU,2021-10-30 22:58:53
14,Itaqui,-29.1253,-56.5531,71.19,92,74,11.27,BR,2021-10-30 22:58:53
15,Camacha,33.0833,-16.3333,69.22,83,20,14.97,PT,2021-10-30 22:58:53
16,Shar,49.5886,81.0453,36.93,57,100,8.59,KZ,2021-10-30 22:58:54
17,Chokurdakh,70.6333,147.9167,1.96,97,99,6.58,RU,2021-10-30 22:58:54
18,Mar Del Plata,-38.0023,-57.5575,60.1,83,75,3.0,AR,2021-10-30 22:56:25
19,Hasaki,35.7333,140.8333,54.0,66,85,8.75,JP,2021-10-30 22:58:54
20,Les Cayes,18.2,-73.75,78.64,82,54,5.82,HT,2021-10-30 22:58:55
21,Nuzvid,16.7833,80.85,74.59,93,92,3.56,IN,2021-10-30 22:58:55
22,Luwingu,-10.2621,29.9271,69.69,58,54,3.76,ZM,2021-10-30 22:58:55
23,Kodiak,57.79,-152.4072,47.71,81,90,33.38,US,2021-10-30 22:58:56
24,Cape Town,-33.9258,18.4232,62.11,82,0,6.91,ZA,2021-10-30 22:54:21
25,Xuddur,4.1213,43.8894,73.72,63,91,15.64,SO,2021-10-30 22:58:56
26,Bambous Virieux,-20.3428,57.7575,70.21,94,20,3.44,MU,2021-10-30 22:58:56
27,Barra Patuca,15.8,-84.2833,78.46,76,74,15.26,HN,2021-10-30 22:58:57
28,Maceio,-9.6658,-35.7353,78.24,83,0,6.91,BR,2021-10-30 22:58:57
29,Severo-Kurilsk,50.6789,156.125,41.56,79,86,13.62,RU,2021-10-30 22:58:57
30,Parrita,9.5201,-84.3225,80.06,87,100,2.1,CR,2021-10-30 22:58:58
31,Dubbo,-32.25,148.6167,59.13,55,0,10.36,AU,2021-10-30 22:58:58
32,Tasiilaq,65.6145,-37.6368,18.32,65,93,4.41,GL,2021-10-30 22:58:58
33,Zelenoborskiy,66.845,32.3622,36.82,99,100,2.39,RU,2021-10-30 22:58:59
34,Jamestown,42.097,-79.2353,53.24,87,90,0.0,US,2021-10-30 22:54:49
35,Ilulissat,69.2167,-51.1,31.68,91,100,10.76,GL,2021-10-30 22:58:59
36,Saskylakh,71.9167,114.0833,12.45,92,100,12.35,RU,2021-10-30 22:58:59
37,Aswan,24.0934,32.907,87.1,25,0,10.36,EG,2021-10-30 22:54:08
38,Castro,-24.7911,-50.0119,60.85,96,89,8.34,BR,2021-10-30 22:59:00
39,Bluff,-46.6,168.3333,50.59,89,96,29.42,NZ,2021-10-30 22:59:00
